search_types,physical_table,schema_file,category,status,write_policy,registered_classes,purpose,columns,relations,cautions
sthpw/doc,doc,sthpw_schema.sql,configuration,optional,generic_sobject,pyasm.search.SObject,Documentation alias/path registry.,id;code;alias;rel_path,alias; rel_path,"Stores references/paths, not document file contents."
sthpw/exception_log,exception_log,sthpw_schema.sql,audit/internal,active internal,read_only_system,pyasm.search.SObject,Unhandled/server exception records.,id;class;message;stack_trace;login;timestamp,login; class; timestamp,May contain stack traces and sensitive data; admin-only access and retention.
sthpw/file,file,sthpw_schema.sql,DAM/check-in,active core,checkin_api_only,pyasm.biz.file.File,One tracked physical/logical file belonging to a snapshot.,id;file_name;search_type;search_id;timestamp;st_size;file_range;code;snapshot_code;project_code;md5;checkin_dir;source_path;relative_dir;type;base_type;metadata;metadata_search;repo_type;base_dir_alias,snapshot_code; search_type/search_id; repo/base_dir_alias/relative_dir,"Never insert file rows directly: naming, repository paths, snapshot XML, versionless files and triggers must stay consistent."
sthpw/file_access,file_access,sthpw_schema.sql,DAM/check-in,optional/internal,subsystem_api,pyasm.biz.FileAccess,Audit of file access/download by login.,id;code;file_code;login;timestamp,file_code -> file,file_code is legacy-typed; do not repurpose as permissions.
sthpw/group_notification,group_notification,sthpw_schema.sql,notifications,active config,notification_api,pyasm.biz.GroupNotification,Association between a notification definition and a login group.,id;login_group;notification_id,login_group -> notification_id,"This is configuration, not an inbox row."
sthpw/interaction,interaction,sthpw_schema.sql,user productivity,optional/internal,owning_subsystem,pyasm.search.SObject,Generic per-user interaction/state store keyed by a string.,id;code;project_code;login;key;data;timestamp,login+project_code+key,Do not turn it into an unversioned dumping ground; namespace keys.
sthpw/login,login,bootstrap_schema.sql,security/users,active core,security_api_only,pyasm.security.Login,User/account record and profile.,id;code;login;password;upn;login_groups;first_name;last_name;display_name;email;phone_number;department;namespace;snapshot;s_status;project_code;license_type;hourly_wage;data,login_in_group; ticket; task.assigned; note.login,Never write password directly; preserve external-auth/UPN/status semantics.
sthpw/login_group,login_group,sthpw_schema.sql,security/users,active core,security_api_only,pyasm.security.LoginGroup,Security group with XML access_rules and project/default metadata.,id;code;login_group;name;sub_groups;access_rules;redirect_url;namespace;description;project_code;s_status;start_link;access_level;is_default;data,login_in_group; group_notification,Do not treat group name as authorization; effective access is computed by AccessManager.
sthpw/login_in_group,login_in_group,sthpw_schema.sql,security/users,active core,security_api_only,pyasm.security.LoginInGroup,Membership link between login and login_group.,id;code;login;login_group,login -> login_group,Avoid duplicates; changes affect effective security and caches.
sthpw/message,message,sthpw_schema.sql,messaging,active core,message_api,pyasm.search.SObject,"Message channel/container and latest/current message state; used for chat, sobject, script and progress categories.",id;code;category;message;status;login;project_code;timestamp,message_log.message_code; subscription.message_code,A row is not necessarily one chat message. Do not use it as arbitrary notifications table.
sthpw/message_log,message_log,sthpw_schema.sql,messaging,active core,message_api,pyasm.search.SObject,Append-only message entries/history for a message channel.,id;code;message_code;category;message;status;login;project_code;timestamp,message_code -> message,"Do not direct-insert: channel state, category, subscriptions and polling semantics can diverge."
sthpw/milestone,milestone,sthpw_schema.sql,workflow/tasks,active optional,class_api,pyasm.biz.Milestone,Project milestone/due-date object.,id;code;project_code;description;due_date,task.milestone_code,Tasks reference milestone_code logically.
sthpw/note,note,sthpw_schema.sql,messaging,active core,class_api,pyasm.biz.Note,"Comment/note attached polymorphically to any SObject, optionally by process/context and parent thread.",id;code;project_code;search_type;search_id;login;context;timestamp;note;title;parent_id;status;label;process;sort_order;access,search_type/search_id; parent_id; process/context,Do not create a parallel task_comments table; preserve access/private and parent_id semantics.
sthpw/notification,notification,bootstrap_schema.sql,notifications,active core,notification_api,pyasm.biz.Notification,"Notification definition/rule: event/listen_event, recipients, template and handler configuration.",id;code;event;listen_event;data;description;process;type;search_type;project_code;rules;subject;message;email_handler_cls;mail_to;mail_cc;mail_bcc;s_status;title;status,group_notification; notification_log,Not a per-user inbox item. Do not insert one row per delivered notification.
sthpw/notification_log,notification_log,sthpw_schema.sql,notifications,active internal,read_only_system,pyasm.search.SObject,Delivery/execution log for generated notifications.,id;project_code;login;command_cls;subject;message;timestamp,notification_login.notification_log_id,Treat as audit/history; do not use as notification definition.
sthpw/notification_login,notification_login,sthpw_schema.sql,notifications,active internal,read_only_system,pyasm.search.SObject,Per-login delivery association/status for a notification_log entry.,id;notification_log_id;login;type;project_code;timestamp,notification_log_id; login,Not equivalent to chat read receipts.
sthpw/pipeline,pipeline,sthpw_schema.sql,workflow,active compatibility/core,pipeline_api,pyasm.biz.Pipeline,Global/system pipeline XML and metadata; historically the primary Pipeline table.,id;code;pipeline;timestamp;search_type;project_code;description;color;s_status;autocreate_tasks;use_workflow,task.pipeline_code; config/process.pipeline_code,Do not edit XML and related process rows independently; config/pipeline also exists in project DBs.
sthpw/pref_list,pref_list,sthpw_schema.sql,preferences,optional config,class_api,pyasm.biz.PrefList,Definition/catalog of available preference keys and options.,id;code;key;description;options;type;category;timestamp;title,pref_setting.key,Not the user value store; values belong in pref_setting.
sthpw/pref_setting,pref_setting,sthpw_schema.sql,preferences,active core,class_api,pyasm.biz.PrefSetting,Per-user/project preference key-value values.,id;project_code;login;key;value;timestamp,login+project_code+key,Namespace keys; do not store security- or workflow-authoritative state.
sthpw/project,project,bootstrap_schema.sql,bootstrap/meta,active core,project_manager_only,pyasm.biz.Project,Registered TACTIC project/template and its DB/naming/runtime metadata.,id;code;title;sobject_mapping_cls;dir_naming_cls;code_naming_cls;pipeline;snapshot;type;last_db_update;description;initials;file_naming_cls;reg_hours;node_naming_cls;s_status;status;last_version_update;palette;category;is_template;db_resource,db_resource; search_object database={project},"Creating a row alone does not create the project database, schema, config or permissions."
sthpw/project_type,project_type,sthpw_schema.sql,bootstrap/meta,legacy/extension,admin_manager,pyasm.biz.ProjectType,"Project-type strategy class registry (naming, mapping, repository handlers).",id;code;dir_naming_cls;file_naming_cls;code_naming_cls;node_naming_cls;sobject_mapping_cls;s_status;type;repo_handler_cls,project.type,Stores importable class names; invalid values can break project behavior.
sthpw/queue,queue,sthpw_schema.sql,dispatcher/jobs,active internal,owning_subsystem,pyasm.search.SObject,Dispatcher/job queue record.,id;code;queue;priority;description;state;login;timestamp;command;serialized;s_status;project_code;search_id;search_type;dispatcher_id;policy_code;host,dispatcher_id; policy_code; target search_type/search_id,Do not insert jobs manually unless implementing the dispatcher contract including serialized command and state.
sthpw/remote_repo,remote_repo,sthpw_schema.sql,DAM/check-in,legacy optional,repository_manager,pyasm.biz.RemoteRepo,Legacy/optional remote repository endpoint mapping.,id;code;ip_address;ip_mask;repo_base_dir;sandbox_base_dir;login,login; network masks/paths,Do not confuse with sthpw/repo or modern repo definitions/configuration.
sthpw/repo,repo,sthpw_schema.sql,DAM/check-in,legacy optional,repository_manager,pyasm.search.SObject,Legacy repository handler/path registry.,id;code;description;handler;web_dir;lib_dir,file repo/base alias (logical),Repository configuration may also live outside this table; inspect deployment before relying on it.
sthpw/retire_log,retire_log,sthpw_schema.sql,audit/internal,active internal,read_only_system,pyasm.search.RetireLog,Log of retired SObjects.,id;code;search_type;search_id;login;timestamp,search_type/search_id,Do not use as the retired object itself or manually append.
sthpw/schema,schema,bootstrap_schema.sql,bootstrap/meta,active core,schema_manager_only,pyasm.biz.Schema,XML project/data-model relationship schema.,id;code;description;schema;timestamp;login;s_status,search_object types and relationships,Do not update independently of search types/physical columns; validate XML.
sthpw/search_object,search_object,bootstrap_schema.sql,bootstrap/meta,active core,search_type_manager_only,pyasm.search.SearchType,Search-type registry mapping logical search_type to DB/table/class/schema.,id;code;search_type;namespace;description;database;table_name;class_name;title;schema;color;id_column;default_layout,all SObject resolution,A row alone does not create/migrate the physical table or views; class_name is executable configuration.
sthpw/snapshot,snapshot,sthpw_schema.sql,DAM/check-in,active core,checkin_api_only,pyasm.biz.Snapshot,Version/revision publication attached to an SObject; owns snapshot XML and file set.,id;search_type;search_id;column_name;snapshot;description;process;login;lock_login;timestamp;lock_date;context;version;s_status;snapshot_type;code;repo;is_current;label;revision;level_type;level_id;metadata;is_latest;status;project_code;search_code;is_synced,file.snapshot_code; search_type/search_id/search_code; level,"Never direct-insert: version allocation, current/latest, files, naming, repository and triggers must be atomic."
sthpw/snapshot_type,snapshot_type,sthpw_schema.sql,DAM/check-in,active optional,class_api,pyasm.biz.SnapshotType,Snapshot/check-in type configuration and optional pipeline/path flavor.,id;code;pipeline_code;timestamp;login;s_status;relpath;project_code;subcontext;snapshot_flavor;relfile,snapshot.snapshot_type; pipeline_code,Legacy/optional in many projects; do not confuse snapshot_type with process/context.
sthpw/sobject_list,sobject_list,sthpw_schema.sql,search/index,internal/optional,owning_subsystem,pyasm.search.SObject,Auxiliary indexed/list representation of SObject references and keywords.,id;code;search_type;search_id;keywords;timestamp;project_code,search_type/search_id,Not a business collection or relation table.
sthpw/sobject_log,sobject_log,sthpw_schema.sql,audit/internal,active internal,read_only_system,pyasm.search.SObject,Per-SObject index of actions linked to a transaction log.,id;code;search_type;search_id;data;login;timestamp;transaction_log_id,transaction_log_id; search_type/search_id,Incomplete by design for some operations/large transactions; do not use as sole source of truth.
,special_day,sthpw_schema.sql,scheduling,optional legacy,generic_or_schedule_api,,Calendar/work-schedule exception or special-day configuration.,id;code;week;mon;tue;wed;thu;fri;sat;sun;year;login;description;type;project_code,project_code/login/year/week,Fields are legacy weekly/hour values; verify feature before extending.
config/client_trigger,spt_client_trigger,config_schema.sql,configuration/triggers,active config,trigger_manager,pyasm.search.SObject,Client-side event-to-callback trigger configuration.,id;code;event;callback;description;timestamp;s_status,event -> callback,Callback is executable client configuration; validate and restrict permissions.
config/custom_script,spt_custom_script,config_schema.sql,configuration/scripts,active config,script_manager,pyasm.search.SObject,Project custom script source and metadata.,id;code;title;description;folder;script;login;timestamp;language;s_status,trigger/script_path references,"Executable code: security-review, version and permission controls required."
config/ingest_rule,spt_ingest_rule,config_schema.sql,ingest,active optional,ingest_api,pyasm.search.SObject,Ingest rule definition tied to a session and base directory.,id;code;spt_ingest_session_code;title;base_dir;rule;data,spt_ingest_session_code; naming.ingest_rule_code,Rule/data formats are subsystem contracts; do not ad-hoc mutate.
config/ingest_session,spt_ingest_session,config_schema.sql,ingest,active optional,ingest_api,pyasm.search.SObject,Ingest session/configuration root.,id;code;title;base_dir;location;data,ingest_rule session code,Not a generic upload session unless ingest subsystem owns it.
config/naming,spt_naming,config_schema.sql,DAM/naming,active core,naming_manager,pyasm.biz.Naming,"Project naming rule for repository directories, files, sandbox and versionless behavior.",id;search_type;dir_naming;file_naming;sandbox_dir_naming;snapshot_type;context;code;latest_versionless;current_versionless;manual_version;ingest_rule_code;condition;class_name;script_path;checkin_type;base_dir_alias;sandbox_dir_alias,search_type/context/snapshot_type/checkin_type; ingest_rule,Avoid duplicate overlapping defaults; checkin_type/context/snapshot_type/condition determine selection.
config/pipeline,spt_pipeline,config_schema.sql,workflow,active core,pipeline_api,pyasm.search.SObject,Project-local pipeline XML/configuration.,id;code;pipeline;timestamp;search_type;description;s_status;color;autocreate_tasks;data,spt_process.pipeline_code; task.pipeline_code,Do not update XML without synchronizing config/process and workflow behavior.
config/plugin,spt_plugin,config_schema.sql,plugins,active config,plugin_installer_only,pyasm.search.SObject,Installed plugin manifest/version/location record.,id;code;description;manifest;timestamp;version;rel_dir;s_status,spt_plugin_content.plugin_code,"A row alone does not install files, content or migrations."
config/plugin_content,spt_plugin_content,config_schema.sql,plugins,active internal,plugin_installer_only,pyasm.search.SObject,Mapping of a plugin to content SObjects it installed/owns.,id;code;plugin_code;search_type;search_code,plugin_code -> arbitrary search_type/search_code,Do not manually delete before plugin uninstall/rollback logic.
config/process,spt_process,config_schema.sql,workflow,active core,pipeline_api,pyasm.search.SObject,"Per-process configuration supplement for a pipeline node: check-in, contexts, repository and transfer behavior.",id;code;pipeline_code;process;color;sort_order;timestamp;s_status;checkin_mode;subcontext_options;checkin_validate_script_path;checkin_options_view;sandbox_create_script_path;context_options;description;repo_type;transfer_mode,pipeline_code+process; task/process; naming/checkin,"This is node configuration, not a task instance. Keep process+pipeline_code aligned with pipeline XML."
config/process_state,spt_process_state,config_schema.sql,workflow,active internal/core,workflow_engine_only,pyasm.search.SObject,Runtime workflow state for one SObject/process.,id;code;pipeline_code;process;search_type;search_code;timestamp;status;state;data;s_status,search_type/search_code+pipeline_code+process,Do not use as task status or UI cache; status/data are engine-owned JSON.
config/prod_setting,spt_prod_setting,config_schema.sql,configuration,active config,class_api,pyasm.prod.biz.ProdSetting,Project production/application setting catalog.,id;code;key;value;description;type;search_type;category,key; search_type/category,Keys may be cached and interpreted globally; avoid duplicates and arbitrary semantics.
config/translation,spt_translation,config_schema.sql,localization,optional,translation_manager,pyasm.search.SObject,Project-local translation table with language columns.,id;code;name;en;fr;ja;es;login;timestamp,name,Schema is language-column based and may not scale to arbitrary locales without migration.
config/trigger,spt_trigger,config_schema.sql,configuration/triggers,active core,trigger_manager,pyasm.biz.TriggerSObj,Project-local server trigger definition.,id;code;class_name;script_path;title;description;event;mode;process;listen_process;trigger_type;data;timestamp;search_type;s_status,event/process/search_type,Executable class/script configuration; event/process/listen_process semantics must be validated.
config/url,spt_url,config_schema.sql,configuration/UI,active config,view_manager,pyasm.search.SObject,Custom URL route to widget/configuration.,id;code;url;widget;description;timestamp;s_status,url -> widget,Widget content is executable UI configuration; restrict write permissions.
config/widget_config,spt_widget_config,config_schema.sql,configuration/UI,active core,widget_config_api,pyasm.search.WidgetDbConfig,Project view/form/table/widget XML configuration.,id;code;view;category;search_type;login;config;timestamp;widget_type;s_status,search_type+view+category+login,Do not overwrite configs blindly: category/view/search_type/login precedence matters and XML must remain valid.
sthpw/status_log,status_log,sthpw_schema.sql,workflow/tasks,active core,read_only_system,pyasm.search.SObject,"Append-only status transition history for an SObject, commonly task.",id;search_type;search_id;status;login;timestamp;to_status;from_status;project_code,search_type/search_id; from_status/to_status,Do not update old rows or use as current status; current value lives on the target object/task.
sthpw/subscription,subscription,sthpw_schema.sql,messaging,active core,message_api,pyasm.search.SObject,User subscription/membership to a message channel with last-cleared read cursor.,id;code;category;message_code;login;project_code;status;last_cleared;timestamp,message_code+login,Do not use as universal arbitrary subscription without message_code semantics; last_cleared is a watermark.
sthpw/sync_job,sync_job,sthpw_schema.sql,sync,active optional,sync_engine_only,pyasm.search.SObject,Outgoing/incoming remote synchronization job.,id;code;login;timestamp;command;data;state;host;project_code;error_log;server_code;transaction_code,sync_server/server_code; transaction_code,Command/data/state and transaction linkage are engine contracts.
sthpw/sync_log,sync_log,sthpw_schema.sql,sync,active optional,read_only_system,pyasm.search.SObject,Processed synchronization transaction/result log.,id;code;transaction_code;status;error;login;timestamp;project_code,transaction_code; project_code,Do not retry by editing rows; use sync job/recovery APIs.
sthpw/sync_server,sync_server,sthpw_schema.sql,sync,active optional,sync_admin,pyasm.search.SObject,Remote TACTIC synchronization peer and credentials/rules.,id;code;host;login;timestamp;state;ticket;access_rules;description;sync_mode;base_dir;file_mode,sync_job.server_code,Contains ticket/access rules and connectivity data; protect as secret config.
sthpw/task,task,sthpw_schema.sql,workflow/tasks,active core,class_api,pyasm.biz.Task,Concrete work item for one target SObject and process.,id;assigned;description;status;discussion;bid_start_date;bid_end_date;bid_duration;actual_start_date;actual_end_date;search_type;search_id;timestamp;s_status;priority;process;context;milestone_code;pipeline_code;parent_id;sort_order;depend_id;project_code;supervisor;code;login;completion,search_type/search_id; pipeline_code/process; milestone/dependency,"Do not create a parallel task table; preserve search target, process, pipeline, assignee and status triggers."
sthpw/ticket,ticket,sthpw_schema.sql,security/users,active core,security_api_only,pyasm.security.Ticket,Authentication/session ticket with expiry/category.,id;code;ticket;login;timestamp;expiry;category,login,Never mint or update tickets directly from clients.
sthpw/transaction_log,transaction_log,sthpw_schema.sql,audit/internal,active core/internal,read_only_system,pyasm.search.TransactionLog,Full transaction/command log including XML change payload and undo-related metadata.,id;code;transaction;login;timestamp;description;command;title;type;namespace,sobject_log.transaction_log_id; transaction_code references,"Large/sensitive; do not mutate, and do not treat every row as user-facing activity."
sthpw/transaction_state,transaction_state,sthpw_schema.sql,audit/internal,internal,internal_only,pyasm.search.TransactionState,Temporary XML-RPC/transaction state keyed by ticket.,id;ticket;timestamp;data,ticket,"Ephemeral internal state, not user settings."
sthpw/translation,translation,sthpw_schema.sql,localization,optional,translation_manager,pyasm.search.SObject,Global locale msgid/msgstr translation records.,id;code;language;msgid;msgstr;line;login;timestamp,language+msgid,Do not mix with config/translation semantics without deciding global vs project scope.
sthpw/trigger,trigger,bootstrap_schema.sql,configuration/triggers,active compatibility/core,trigger_manager,pyasm.biz.TriggerSObj,Global/system trigger definition.,id;code;class_name;script_path;description;event;mode;project_code;s_status;process;data,event/process/project_code,Prefer config/trigger for project-scoped behavior; executable configuration must be secured.
sthpw/watch_folder,watch_folder,sthpw_schema.sql,ingest/watch,active optional,watch_folder_api,pyasm.search.SObject,Watched folder configuration that launches a script/process for incoming files.,id;code;name;project_code;base_dir;search_type;process;timestamp;script_path,project_code+search_type+process,Do not treat as a generic filesystem bookmark; script and service lifecycle matter.
sthpw/wdg_settings,wdg_settings,sthpw_schema.sql,preferences,active core,class_api,pyasm.web.WidgetSettings,Persistent per-user widget state.,id;key;login;data;timestamp;project_code,login+project_code+key,UI-only state; namespace keys and avoid authoritative business data.
sthpw/work_hour,work_hour,sthpw_schema.sql,time tracking,active optional,class_api,pyasm.biz.WorkHour,Time/work-hour entry linked to an SObject/task/process.,id;code;project_code;description;category;process;login;day;start_time;end_time;straight_time;over_time;search_type;search_id;status;task_code,search_type/search_id; task_code; login,"Durations, dates and task linkage may drive reports/payroll; validate rather than ad-hoc insert."
